Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_HandSoldering,137.826,-2.174,270,bottom
C2,22pF,C_0805_HandSoldering,140.112,-1.031,90,bottom
C3,10uF,C_0805_HandSoldering,135.794,8.494,90,bottom
C4,1uF (±10%),C_0805_HandSoldering,133.762,8.494,90,bottom
C5,1uF,C_0805_HandSoldering,118.542,2.398,180,bottom
C6,0.1uF,C_0805_HandSoldering,118.542,0.366,180,bottom
C7,0.1uF,C_0805_HandSoldering,133.508,-11.572,0,bottom
C8,0.1uF,C_0805_HandSoldering,120.046,-8.524,90,bottom
C9,0.1uF,C_0805_HandSoldering,141.108,2.652,0,bottom
D1,D,D_SOD-123,-3.225,-3.775,90,bottom
D2,D,D_SOD-123,-2.625,-22.825,90,bottom
D3,D,D_SOD-123,-4.30875,-41.875,90,bottom
D4,D,D_SOD-123,-3.72125,-60.925,90,bottom
D5,D,D_SOD-123,-10.855,-79.975,90,bottom
D6,D,D_SOD-123,15.825,-3.775,90,bottom
D7,D,D_SOD-123,21.185,-22.825,90,bottom
D8,D,D_SOD-123,21.885,-41.875,90,bottom
D9,D,D_SOD-123,27.235,-60.925,90,bottom
D10,D,D_SOD-123,34.875,-2.274615,90,bottom
D11,D,D_SOD-123,40.975851,-22.396624,78,bottom
D12,D,D_SOD-123,41.673518,-42.020517,78,bottom
D13,D,D_SOD-123,47.0296,-62.634586,78,bottom
D14,D,D_SOD-123,47.727301,-82.258474,78,bottom
D15,D,D_SOD-123,54.253509,-5.743281,78,bottom
D16,D,D_SOD-123,59.609561,-26.35735,78,bottom
D17,D,D_SOD-123,60.307228,-45.981244,78,bottom
D18,D,D_SOD-123,65.66331,-66.595312,78,bottom
D19,D,D_SOD-123,72.88722,-9.703999,78,bottom
D20,D,D_SOD-123,78.243271,-30.318077,78,bottom
D21,D,D_SOD-123,78.940938,-49.941971,78,bottom
D22,D,D_SOD-123,84.297019,-70.556039,78,bottom
D23,D,D_SOD-123,80.336293,-89.189749,78,bottom
D24,D,D_SOD-123,91.520932,-13.664717,78,bottom
D25,D,D_SOD-123,96.876981,-34.278804,78,bottom
D26,D,D_SOD-123,97.574648,-53.902698,78,bottom
D27,D,D_SOD-123,102.930729,-74.516766,78,bottom
D28,D,D_SOD-123,108.286866,-95.130795,78,bottom
D29,D,D_SOD-123,110.154644,-17.625434,78,bottom
D30,D,D_SOD-123,134.523423,-39.579527,102,bottom
D31,D,D_SOD-123,143.142544,-57.223079,102,bottom
D32,D,D_SOD-123,151.761665,-74.866631,102,bottom
D33,D,D_SOD-123,139.87965,-18.965428,102,bottom
D34,D,D_SOD-123,153.157134,-35.618809,102,bottom
D35,D,D_SOD-123,161.776255,-53.262361,102,bottom
D36,D,D_SOD-123,170.395377,-70.905913,102,bottom
D37,D,D_SOD-123,162.710066,-92.015038,102,bottom
D38,D,D_SOD-123,158.513362,-15.00471,102,bottom
D39,D,D_SOD-123,171.790846,-31.658092,102,bottom
D40,D,D_SOD-123,180.409967,-49.301644,102,bottom
D41,D,D_SOD-123,189.029088,-66.945196,102,bottom
D42,D,D_SOD-123,177.147074,-11.043993,102,bottom
D43,D,D_SOD-123,190.424558,-27.697374,102,bottom
D44,D,D_SOD-123,199.043679,-45.340926,102,bottom
D45,D,D_SOD-123,207.6628,-62.984478,102,bottom
D46,D,D_SOD-123,202.306702,-83.598526,102,bottom
D47,D,D_SOD-123,195.780785,-7.083275,102,bottom
D48,D,D_SOD-123,209.05827,-23.736656,102,bottom
D49,D,D_SOD-123,218.685,-41.875,90,bottom
D50,D,D_SOD-123,228.210019,-60.924998,90,bottom
D51,D,D_SOD-123,215.005,-2.274615,90,bottom
D52,D,D_SOD-123,228.695,-22.825,90,bottom
D53,D,D_SOD-123,237.735,-41.875,90,bottom
D54,D,D_SOD-123,254.403769,-60.924998,90,bottom
D55,D,D_SOD-123,234.055,-3.775,90,bottom
D56,D,D_SOD-123,247.745,-22.825,90,bottom
D57,D,D_SOD-123,268.69125,-41.875,90,bottom
D58,D,D_SOD-123,266.309949,-84.737503,90,bottom
D59,D,D_SOD-123,253.105,-3.775,90,bottom
D60,D,D_SOD-123,271.565,-22.825,90,bottom
D61,D,D_SOD-123,285.359949,-65.687503,90,bottom
D62,D,D_SOD-123,285.359949,-84.737503,90,bottom
D63,D,D_SOD-123,272.155,-3.775,90,bottom
D64,D,D_SOD-123,295.967542,0.987491,90,bottom
D65,D,D_SOD-123,300.14,-18.062516,90,bottom
D66,D,D_SOD-123,304.409949,-37.112519,90,bottom
D67,D,D_SOD-123,304.409949,-84.737503,90,bottom
D68,D,D_SOD-123,-26.9875,1.190625,90,bottom
D69,D,D_SOD-123,-30.95625,-17.859375,90,bottom
D70,D,D_SOD-123,-37.703125,-36.909375,90,bottom
J1,USB_B_Micro,USB_Micro-B_Molex-105017-0001,128.169855,12.362,0,bottom
R1,22,R_0805_HandSoldering,113.442,7.224,0,bottom
R2,22,R_0805_HandSoldering,113.442,9.256,0,bottom
R3,10K,R_0805_HandSoldering,146.97,9.764,270,bottom
R4,10K,R_0805_HandSoldering,122.332,-13.016,270,bottom
SWR1,SW_Push,SW_SPST_TL3342,153.828,9.764,180,bottom
U1,USBLC6-2SC6,SOT-23-6_Handsoldering,119.284,8.24,0,bottom
U2,ATmega32U4-AU,TQFP-44_10x10mm_Pitch0.8mm,128.174,-3.444,270,bottom
Y1,Crystal_GND24,Crystal_SMD_SeikoEpson_FA238-4pin_3.2x2.5mm_HandSoldering,145.954,-0.904,150,bottom
